fold_id,model_type,class,f1
intra_loso_session__VP_13__2026-05-06_12-43-14_3rep,lda,Pinch,0.824268
intra_loso_session__VP_13__2026-05-06_12-43-14_3rep,lda,Tripod,0.914153
intra_loso_session__VP_13__2026-05-06_12-50-29_3rep,lda,Rest,0.923077
intra_loso_session__VP_13__2026-05-06_12-50-29_3rep,lda,Fist,0.935622
intra_loso_session__VP_13__2026-05-06_12-50-29_3rep,lda,Pinch,0.914286
intra_loso_session__VP_13__2026-05-06_12-50-29_3rep,lda,Tripod,0.956332
intra_loso_session__VP_13__2026-05-06_12-51-44_3rep,lda,Rest,0.914661
intra_loso_session__VP_13__2026-05-06_12-51-44_3rep,lda,Fist,0.896861
intra_loso_session__VP_13__2026-05-06_12-51-44_3rep,lda,Pinch,0.890295
intra_loso_session__VP_13__2026-05-06_12-51-44_3rep,lda,Tripod,0.950673
intra_loso_session__VP_13__2026-05-06_12-56-17_3rep,lda,Rest,0.907895
intra_loso_session__VP_13__2026-05-06_12-56-17_3rep,lda,Fist,0.918552
intra_loso_session__VP_13__2026-05-06_12-56-17_3rep,lda,Pinch,0.921109
intra_loso_session__VP_13__2026-05-06_12-56-17_3rep,lda,Tripod,0.923747
intra_loso_session__VP_13__2026-05-06_12-57-31_3rep,lda,Rest,0.883669
intra_loso_session__VP_13__2026-05-06_12-57-31_3rep,lda,Fist,0.907865
intra_loso_session__VP_13__2026-05-06_12-57-31_3rep,lda,Pinch,0.883516
intra_loso_session__VP_13__2026-05-06_12-57-31_3rep,lda,Tripod,0.900826
intra_loso_session__VP_13__2026-05-06_13-06-21_3rep,lda,Rest,0.890591
intra_loso_session__VP_13__2026-05-06_13-06-21_3rep,lda,Fist,0.860465
intra_loso_session__VP_13__2026-05-06_13-06-21_3rep,lda,Pinch,0.899582
intra_loso_session__VP_13__2026-05-06_13-06-21_3rep,lda,Tripod,0.95614
intra_loso_session__VP_13__2026-05-06_13-12-22_3rep,lda,Rest,0.875421
intra_loso_session__VP_13__2026-05-06_13-12-22_3rep,lda,Fist,0.889868
intra_loso_session__VP_13__2026-05-06_13-12-22_3rep,lda,Pinch,0.916667
intra_loso_session__VP_13__2026-05-06_13-12-22_3rep,lda,Tripod,0.896703
intra_loso_session__VP_13__2026-05-06_13-13-37_3rep,lda,Rest,0.894977
intra_loso_session__VP_13__2026-05-06_13-13-37_3rep,lda,Fist,0.900415
intra_loso_session__VP_13__2026-05-06_13-13-37_3rep,lda,Pinch,0.95914
intra_loso_session__VP_13__2026-05-06_13-13-37_3rep,lda,Tripod,0.940659
intra_loso_session__VP_14__2026-05-13_15-57-37_5rep,lda,Rest,0.444735
intra_loso_session__VP_14__2026-05-13_15-57-37_5rep,lda,Fist,0.372222
intra_loso_session__VP_14__2026-05-13_15-57-37_5rep,lda,Pinch,0.174803
intra_loso_session__VP_14__2026-05-13_15-57-37_5rep,lda,Tripod,0.363636
intra_loso_session__VP_14__2026-05-13_16-11-51_4rep,lda,Rest,0.674948
intra_loso_session__VP_14__2026-05-13_16-11-51_4rep,lda,Fist,0.133612
intra_loso_session__VP_14__2026-05-13_16-11-51_4rep,lda,Pinch,0.446473
intra_loso_session__VP_14__2026-05-13_16-11-51_4rep,lda,Tripod,0.361783
intra_loso_session__VP_01__2026-02-26_12:30:21_3rep,svm,Rest,0.943946
intra_loso_session__VP_01__2026-02-26_12:30:21_3rep,svm,Fist,0.96
intra_loso_session__VP_01__2026-02-26_12:30:21_3rep,svm,Pinch,0.71123
intra_loso_session__VP_01__2026-02-26_12:30:21_3rep,svm,Tripod,0.764085
intra_loso_session__VP_01__2026-02-26_12:50:17_3rep,svm,Rest,0.930023
intra_loso_session__VP_01__2026-02-26_12:50:17_3rep,svm,Fist,0.9718
intra_loso_session__VP_01__2026-02-26_12:50:17_3rep,svm,Pinch,0.952809
intra_loso_session__VP_01__2026-02-26_12:50:17_3rep,svm,Tripod,0.91358
intra_loso_session__VP_01__2026-03-02_10:15:18_3rep,svm,Rest,0.177515
intra_loso_session__VP_01__2026-03-02_10:15:18_3rep,svm,Fist,0.75
intra_loso_session__VP_01__2026-03-02_10:15:18_3rep,svm,Pinch,0.46311
intra_loso_session__VP_01__2026-03-02_10:15:18_3rep,svm,Tripod,0.696498
intra_loso_session__VP_01__2026-03-02_12:29:32_3rep,svm,Rest,0.820645
intra_loso_session__VP_01__2026-03-02_12:29:32_3rep,svm,Fist,0.90583
intra_loso_session__VP_01__2026-03-02_12:29:32_3rep,svm,Pinch,0.662539
intra_loso_session__VP_01__2026-03-02_12:29:32_3rep,svm,Tripod,0.402948
intra_loso_session__VP_01__2026-03-02_12:33:18_3rep,svm,Rest,0.842236
intra_loso_session__VP_01__2026-03-02_12:33:18_3rep,svm,Fist,0.931393
intra_loso_session__VP_01__2026-03-02_12:33:18_3rep,svm,Pinch,0.749403
intra_loso_session__VP_01__2026-03-02_12:33:18_3rep,svm,Tripod,0.686515
