fold_id,model_type,n_train_windows,n_val_windows,n_test_windows,accuracy,macro_f1,val_accuracy,val_macro_f1,train_seconds,inference_ms,fold_seed
intra_loso_session__VP_01__2026-03-30_09-32-13_3rep,svm,52526,0,1140,0.8824561403508772,0.8645615644403231,,,29.16588020324707,0.6021342779460707,2077240972
intra_loso_session__VP_01__2026-03-30_09-41-33_3rep,svm,52526,0,1140,0.9228070175438596,0.9255120662342964,,,27.735936880111694,0.6150369058575547,1548492459
intra_loso_session__VP_01__2026-04-27_09-29-56_3rep,svm,52527,0,1139,0.8331870061457419,0.8139353279023591,,,28.983670949935913,0.617623643146679,741697677
intra_loso_session__VP_01__2026-04-30_09-04-04_3rep,svm,52964,0,702,0.95014245014245,0.7291671180247128,,,28.92198395729065,0.6200268737271301,773742580
intra_loso_session__VP_01__2026-04-30_09-24-27_3rep,svm,52961,0,705,0.8851063829787233,0.7006169369571938,,,27.48940396308899,0.6088398872537816,89807208
intra_loso_session__VP_01__2026-04-30_09-51-33_3rep,svm,52968,0,698,0.7922636103151862,0.5090570984396385,,,27.527026176452637,0.5819442279017757,1019462531
intra_loso_session__VP_01__2026-04-30_09-58-03_3rep,svm,52968,0,698,0.8896848137535817,0.675706066415125,,,28.059407949447632,0.6183054522320329,1874368567
intra_loso_session__VP_01__2026-04-30_10-25-22_3rep,svm,52970,0,696,0.889367816091954,0.6959198018245814,,,28.98722815513611,0.6286940355410521,1628537815
intra_loso_session__VP_01__2026-04-30_11-12-19_3rep,svm,52968,0,698,0.7535816618911175,0.3288365150307776,,,28.75652313232422,0.6070133608186825,991250879
intra_loso_session__VP_01__2026-04-30_11-29-09_3rep,svm,52735,0,931,0.920515574650913,0.8905868437118437,,,30.885529041290283,0.6288818846967884,124906792
intra_loso_session__VP_01__2026-05-01_11-38-54_3rep,svm,52561,0,1105,0.2434389140271493,0.1598347942683317,,,25.71360206604004,0.5479791045728313,1128914026
intra_loso_session__VP_01__2026-05-04_08-55-07_3rep,svm,52963,0,703,0.9886201991465148,0.7456331877729258,,,30.04403519630432,0.6305733920839399,583363123
intra_loso_session__VP_01__2026-05-04_09-00-24_3rep,svm,52959,0,707,1.0,1.0,,,29.815070867538452,0.623983237497203,1164409435
intra_loso_session__VP_01__2026-05-04_09-30-37_3rep,svm,51681,0,1985,0.9324937027707808,0.9206443460704258,,,28.951621055603027,0.610205628709769,153039171
intra_loso_session__VP_01__2026-05-04_09-43-34_3rep,svm,51616,0,2050,0.8892682926829268,0.8673266598572522,,,29.605878114700317,0.6046268416614067,1078690015
