subject_id,session_id,path,n_frames,duration_s,rms_max,rms_p50,rms_p95,profile_threshold,optimal_threshold,asrec_accuracy,asrec_precision,asrec_recall,asrec_f1,asrec_pos_rate,asrec_pos_rate_truth,profile_accuracy,profile_precision,profile_recall,profile_f1,opt_accuracy,opt_precision,opt_recall,opt_f1,auc,asrec_tp,asrec_fp,asrec_fn,asrec_tn,profile_tp,profile_fp,profile_fn,profile_tn,opt_tp,opt_fp,opt_fn,opt_tn,suspect_threshold,excluded,exclude_reason,notes,group,group_label
VP_04,emg_2026-03-26_14-27-51_normal,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/unity/Users/VP_04/RecordedData/emg/emg_2026-03-26_14-27-51_normal.csv,263286,131.637879,0.003910,0.000014,0.000305,0.000500,0.000003,0.546524,0.000000,0.000000,0.000000,0.000000,0.453476,0.513434,0.096667,0.008744,0.016038,0.461339,0.456694,0.990502,0.625149,0.516702,0,0,119394,143892,1044,9756,118350,134136,118260,140688,1134,3204,False,False,,profile history @ 2026-03-26 14:23:38 [0.5 mV → 0.0005 V],I,impaired
VP_04,emg_2026-03-26_14-31-33_normal,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/unity/Users/VP_04/RecordedData/emg/emg_2026-03-26_14-31-33_normal.csv,199872,99.936582,0.003715,0.000014,0.000097,0.000500,0.000002,0.601855,0.000000,0.000000,0.000000,0.000000,0.398145,0.599874,0.133333,0.000905,0.001797,0.397875,0.396924,0.986428,0.566070,0.566924,0,0,79578,120294,72,468,79506,119826,78498,119268,1080,1026,False,False,,profile history @ 2026-03-26 14:23:38 [0.5 mV → 0.0005 V],I,impaired
VP_04,emg_2026-03-26_14-36-21_obstacle,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/unity/Users/VP_04/RecordedData/emg/emg_2026-03-26_14-36-21_obstacle.csv,223920,111.952183,0.005117,0.000019,0.001360,0.000500,0.000004,0.690595,0.000000,0.000000,0.000000,0.000000,0.309405,0.623312,0.112141,0.031437,0.049107,0.315273,0.308034,0.973240,0.467958,0.491910,0,0,69282,154638,2178,17244,67104,137394,67428,151470,1854,3168,False,False,,profile history @ 2026-03-26 14:23:38 [0.5 mV → 0.0005 V],I,impaired
VP_04,emg_2026-03-26_14-40-44_mirrored,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/unity/Users/VP_04/RecordedData/emg/emg_2026-03-26_14-40-44_mirrored.csv,189000,94.499266,0.005479,0.000024,0.003533,0.000500,0.000010,0.788667,0.000000,0.000000,0.000000,0.000000,0.211333,0.712857,0.105941,0.048220,0.066274,0.410667,0.237048,0.806219,0.366373,0.563362,0,0,39942,149058,1926,16254,38016,132804,32202,103644,7740,45414,False,False,,profile history @ 2026-03-26 14:23:38 [0.5 mV → 0.0005 V],I,impaired
VP_04,emg_2026-03-26_14-43-14_mirrored,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/unity/Users/VP_04/RecordedData/emg/emg_2026-03-26_14-43-14_mirrored.csv,224118,112.058193,0.005545,0.000021,0.003374,0.000500,0.000003,0.619790,0.000000,0.000000,0.000000,0.000000,0.380210,0.583487,0.242597,0.044994,0.075909,0.382620,0.378106,0.967469,0.543717,0.471724,0,0,85212,138906,3834,11970,81378,126936,82440,135594,2772,3312,False,False,,profile history @ 2026-03-26 14:23:38 [0.5 mV → 0.0005 V],I,impaired
VP_04,emg_2026-03-27_10-31-37_normal,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/unity/Users/VP_04/RecordedData/emg/emg_2026-03-27_10-31-37_normal.csv,269640,134.813534,0.004857,0.000020,0.002208,0.000500,0.000006,0.632176,0.000000,0.000000,0.000000,0.000000,0.367824,0.622363,0.433243,0.086570,0.144305,0.427503,0.388233,0.966425,0.553937,0.457441,0,0,99180,170460,8586,11232,90594,159228,95850,151038,3330,19422,False,False,,profile history @ 2026-03-26 14:23:38 [0.5 mV → 0.0005 V],I,impaired
VP_04,emg_2026-03-27_10-34-18_normal,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/unity/Users/VP_04/RecordedData/emg/emg_2026-03-27_10-34-18_normal.csv,167454,83.727058,0.003856,0.000019,0.000327,0.000500,0.000082,0.757175,0.000000,0.000000,0.000000,0.000000,0.242825,0.771149,0.674731,0.111111,0.190802,0.767387,0.534148,0.328907,0.407123,0.545743,0,0,40662,126792,4518,2178,36144,124614,13374,11664,27288,115128,False,False,,profile history @ 2026-03-26 14:23:38 [0.5 mV → 0.0005 V],I,impaired
VP_04,emg_2026-03-27_10-36-30_normal,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/unity/Users/VP_04/RecordedData/emg/emg_2026-03-27_10-36-30_normal.csv,216540,108.271982,0.003883,0.000021,0.003151,0.000500,0.000006,0.579219,0.000000,0.000000,0.000000,0.000000,0.420781,0.600582,0.621570,0.129791,0.214741,0.447880,0.431304,0.979850,0.598961,0.527804,0,0,91116,125424,11826,7200,79290,118224,89280,117720,1836,7704,False,False,,profile history @ 2026-03-26 14:23:38 [0.5 mV → 0.0005 V],I,impaired
VP_04,emg_2026-03-27_11-00-06_normal,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/unity/Users/VP_04/RecordedData/emg/emg_2026-03-27_11-00-06_normal.csv,262692,131.339910,0.005544,0.000018,0.000206,0.000500,0.000005,0.436686,0.000000,0.000000,0.000000,0.000000,0.563314,0.454365,0.743396,0.047926,0.090047,0.577155,0.572326,0.986620,0.724423,0.462894,0,0,147978,114714,7092,2448,140886,112266,145998,109098,1980,5616,False,False,,profile history @ 2026-03-26 14:23:38 [0.5 mV → 0.0005 V],I,impaired
VP_09,emg_2026-04-02_10-10-57,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/unity/Users/VP_09/RecordedData/emg/emg_2026-04-02_10-10-57.csv,161964,80.980978,0.005278,0.000098,0.001650,0.000340,0.000023,0.596466,0.000000,0.000000,0.000000,0.000000,0.403534,0.598355,0.504485,0.263288,0.346001,0.480996,0.435458,0.965299,0.600171,0.574805,0,0,65358,96606,17208,16902,48150,79704,63090,81792,2268,14814,False,False,,profile history @ 2026-04-02 10:09:47 [0.34 mV → 0.00034 V],I,impaired
VP_09,emg_2026-04-02_10-18-30,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/unity/Users/VP_09/RecordedData/emg/emg_2026-04-02_10-18-30.csv,295056,147.526166,0.008347,0.000103,0.001036,0.000340,0.000027,0.386408,0.000000,0.000000,0.000000,0.000000,0.613592,0.453453,0.661380,0.223901,0.334547,0.677099,0.665302,0.953370,0.783703,0.639668,0,0,181044,114012,40536,20754,140508,93258,172602,86832,8442,27180,False,False,,profile history @ 2026-04-02 10:09:47 [0.34 mV → 0.00034 V],I,impaired
VP_11,emg_2026-04-17_14-37-43,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/unity/Users/VP_11/RecordedData/emg/RecordedData/emg_2026-04-17_14-37-43.csv,163782,81.884664,0.003860,0.000010,0.001801,0.000230,0.000004,0.513023,0.000000,0.000000,0.000000,0.000000,0.486977,0.552149,0.708431,0.136538,0.228950,0.496648,0.491430,0.964116,0.651021,0.592225,0,0,79758,84024,10890,4482,68868,79542,76896,79578,2862,4446,False,False,,profile history @ 2026-04-17 14:37:43 [0.23 mV → 0.00023 V],I,impaired
VP_11,emg_2026-04-17_14-47-29,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/unity/Users/VP_11/RecordedData/emg/RecordedData/emg_2026-04-17_14-47-29.csv,220212,110.104412,0.000445,0.000009,0.000043,0.000350,0.000006,0.426026,0.000000,0.000000,0.000000,0.000000,0.573974,0.426925,1.000000,0.001567,0.003128,0.634625,0.630631,0.877243,0.733770,0.692619,0,0,126396,93816,198,0,126198,93816,110880,64944,15516,28872,False,False,,profile history @ 2026-04-17 14:47:29 [0.35 mV → 0.00035 V],I,impaired
VP_11,emg_2026-04-18_11-35-09,/Users/paul/Coding_Projects/Master/Dataprocessing/playagain_pipeline/data/unity/Users/VP_11/RecordedData/emg/RecordedData/emg_2026-04-18_11-35-09.csv,129690,64.841393,0.005236,0.000072,0.002285,0.000050,0.000036,0.163775,0.163775,1.000000,0.281455,1.000000,0.163775,0.522831,0.211105,0.699153,0.324292,0.502429,0.213759,0.761017,0.333767,0.586885,21240,108450,0,0,14850,55494,6390,52956,16164,59454,5076,48996,False,False,,profile history @ 2026-04-18 11:35:09 [0.05 mV → 5e-05 V],I,impaired
